"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460753.9,5262516.97,37.81,28029,2,4,0,21074,19789,23644,19767
460753.61,5262518.38,41.7,29769,1,4,0,26728,24672,24415,26752
460754.69,5262513.13,30.28,28406,3,4,0,31354,30326,30840,28259
460754.8,5262512.54,30.81,28769,2,3,0,28270,27242,27499,21909
460753.67,5262518.02,42.52,30860,1,3,0,32382,29812,29298,31351
460754.89,5262512.1,30.55,29625,2,3,0,31868,30840,30326,19293
460753.95,5262516.63,41.11,28199,2,4,0,33153,30326,30069,27351
460754.9,5262512.01,31.21,28337,3,4,0,26214,24929,26728,17184
460753.95,5262516.6,42.74,30441,1,2,0,28784,26471,26471,28964
460754.76,5262512.64,35.12,29064,2,3,0,26471,24415,25443,32950
460754.82,5262512.32,35.38,28769,2,2,0,26471,25186,24415,22524
460754.2,5262515.34,41.84,30608,1,2,0,37522,35209,33153,21628
460754.1,5262515.79,43.44,28445,1,2,0,30583,28784,28527,24868
460755.35,5262509.71,31.3,28107,2,3,0,28013,26728,27756,20064
460755.63,5262508.36,28.1,28006,3,3,0,33667,31354,32382,19451
460756.1,5262506.02,24.63,28012,3,4,0,12336,12593,17733,15223
460754.6,5262513.28,40.42,29330,1,4,0,21588,20046,20817,31114
460754.68,5262512.92,39.94,28920,2,4,0,26471,25186,26471,28909
460758.41,5262494.81,0.26,31627,1,1,0,28270,26471,28784,15324
460758.55,5262494.09,0.49,28481,2,2,0,12336,12593,17733,9452
460754.94,5262511.53,41.95,31142,1,1,0,23130,21845,22616,21499
460755.05,5262510.97,41.55,30185,2,3,0,19018,19018,20560,22279
460755.02,5262511.11,42.05,30214,1,3,0,20817,20303,22359,21886
460755.14,5262510.47,41.41,31007,1,2,0,20817,20560,22616,20706
460756.68,5262503,24.93,28068,2,2,0,11822,13107,18247,17046
460756.77,5262502.58,24.94,29644,2,2,0,11822,13107,18504,13294
460756.85,5262502.17,24.71,29323,2,3,0,19789,20560,22616,16134
460756.63,5262503.21,27.07,28815,1,3,0,14906,15934,18504,14267
460757.13,5262500.75,22.59,29113,2,2,0,14649,15420,19789,19372
460756.68,5262502.94,27.49,30087,1,2,0,19532,19275,19275,17745
460755.42,5262509,42.35,28121,1,4,0,29298,29041,29041,18579
460755.55,5262508.41,40.98,31037,2,4,0,35980,35723,36237,15201
460757.13,5262500.69,25.77,28265,3,4,0,10794,12079,16962,0
460755.74,5262507.4,41.37,30621,1,3,0,31354,29298,28013,0
460755.84,5262506.89,40.96,30998,1,2,0,27242,25957,24415,0
460751.92,5262529.78,0.11,28828,3,3,0,26471,24158,23644,29144
460752,5262529.36,0,30516,2,2,2,30326,28270,27756,26070
460752.15,5262528.61,0,30224,3,3,2,30069,27242,26985,26294
460752.23,5262528.21,0,31813,1,1,2,31868,28270,28013,22362
460752.32,5262527.7,1.58,28396,3,3,0,21845,21845,24415,20496
460752.33,5262527.63,2.45,30011,4,4,0,14392,14906,19532,9830
460752.33,5262527.6,3.22,29241,2,2,0,13878,15163,20560,8865
460752.32,5262527.61,4.09,30106,3,3,0,13621,14906,20046,8576
460752.31,5262527.63,5.88,30811,2,2,0,19018,19532,24158,9165
460752.3,5262527.64,6.72,29687,2,2,0,22102,22359,24672,8364
460752.91,5262524.65,0,28166,3,3,0,27242,27499,26985,22235
460752.31,5262527.58,7.55,29608,2,3,0,20303,19275,24158,8917
460752.98,5262524.3,0.2,28917,3,3,0,33153,31354,29298,30712
460752.3,5262527.6,8.47,30991,2,3,0,13878,15677,20560,10479
460753.07,5262523.86,0,28838,3,3,2,32382,30326,29812,31670
460752.29,5262527.61,9.33,30673,2,3,0,16962,17219,21074,10044
460753.14,5262523.49,0,28969,2,2,2,31868,29812,28784,31151
460752.3,5262527.52,10.91,31237,1,2,0,29041,28784,29555,12735
460752.3,5262527.5,11.81,30712,1,2,0,19275,18761,22102,15000
460753.31,5262522.61,0,30598,2,2,2,27499,24929,24415,30305
460753.34,5262522.46,0.62,30352,2,2,0,29298,26985,27756,27565
460752.28,5262527.55,12.81,30837,1,2,0,20046,20817,22102,15029
460752.29,5262527.5,13.59,30536,1,2,0,24415,22102,22102,16364
460752.27,5262527.55,14.53,30408,1,2,0,19275,17990,21074,14955
460752.28,5262527.51,15.32,30460,1,2,0,18761,17990,20817,11849
460753.58,5262521.19,0.05,30850,2,2,0,30840,28527,29298,21615
460752.28,5262527.5,16.23,30408,1,2,0,21074,19532,23130,12684
460753.65,5262520.84,1.2,31102,2,2,0,32125,30069,29555,24449
460752.27,5262527.51,17.12,29916,1,2,0,19275,18504,19789,21519
460753.75,5262520.33,0.41,31276,2,2,0,39321,37265,36494,28276
460752.27,5262527.48,18.01,29457,1,2,0,31868,30583,29041,34336
460752.28,5262527.42,18.75,30018,1,2,0,30326,28784,29298,29622
460753.84,5262519.85,0,31178,2,2,2,31868,29812,29041,29150
460753.96,5262519.16,1.95,28730,2,2,0,23901,22359,23901,19091
460754.43,5262516.78,0,30178,3,3,0,20817,20560,24415,20146
460753.4,5262521.81,12.56,28923,2,3,0,28784,27499,29041,26280
460753.42,5262521.69,13.19,28684,2,3,0,21588,21074,22616,24996
460754.49,5262516.51,0.33,28530,3,3,0,21331,21331,24415,18217
460752.07,5262528.05,33.25,28868,3,3,0,31354,28784,28270,27916
460752,5262528.36,34.98,29038,3,3,0,26985,24929,24929,29279
